Date,High,Low,Volume
2003-03-11,$1.13,$1.07,5531400
2003-03-12,$1.11,$1.06,5751200
2003-03-13,$1.18,$1.09,7560000
2003-03-14,$1.21,$1.17,6129200
2003-03-17,$1.29,$1.12,16616600
2003-03-18,$1.37,$1.29,21091000
2003-03-19,$1.40,$1.34,16062200
2003-03-20,$1.41,$1.33,14603400
2003-03-21,$1.40,$1.31,8150800
2003-03-24,$1.33,$1.27,8996400
2003-03-25,$1.39,$1.28,12602800
2003-03-26,$1.48,$1.38,18580800
2003-03-27,$1.57,$1.44,30632000
2003-03-28,$1.60,$1.48,26143600
2003-03-31,$1.51,$1.44,8283800
2003-04-01,$1.47,$1.33,17019800
2003-04-02,$1.47,$1.40,22761200
2003-04-03,$1.45,$1.40,8033200
2003-04-04,$1.46,$1.39,5884200
2003-04-07,$1.52,$1.41,10315200
2003-04-08,$1.47,$1.36,6265000
2003-04-09,$1.49,$1.43,5864600
2003-04-10,$1.51,$1.44,5419400
2003-04-11,$1.55,$1.48,4790800
2003-04-14,$1.48,$1.44,5355000
2003-04-15,$1.45,$1.41,6311200
2003-04-16,$1.47,$1.44,4533200
2003-04-17,$1.57,$1.47,13462400
2003-04-21,$1.76,$1.61,48573000
2003-04-22,$1.75,$1.60,30570400
2003-04-23,$1.65,$1.43,36787800
2003-04-24,$1.63,$1.45,35765800
2003-04-25,$1.59,$1.49,14922600
2003-04-28,$1.59,$1.50,22727600
2003-04-29,$1.64,$1.58,20129200
2003-04-30,$1.66,$1.55,11071200
2003-05-01,$1.63,$1.60,14984200
2003-05-02,$1.64,$1.60,12334000
2003-05-05,$1.74,$1.60,14449400
2003-05-06,$1.73,$1.64,14964600
2003-05-07,$1.70,$1.63,13473600
2003-05-08,$1.67,$1.63,10046400
2003-05-09,$1.65,$1.59,5926200
2003-05-12,$1.71,$1.62,11788000
2003-05-13,$1.80,$1.68,18207000
2003-05-14,$1.85,$1.74,19117000
2003-05-15,$1.78,$1.73,10684800
2003-05-16,$1.76,$1.64,12966800
2003-05-19,$1.67,$1.47,30472400
2003-05-20,$1.57,$1.47,20209000
2003-05-21,$1.56,$1.48,9451400
